unit,lecture,title,topic,video_path,srt_path,lecture_pdf_path,review_path,problem_set_refs,exam_refs
1,1,Lecture 1: The geometry of linear equations,The geometry of linear equations,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/01.mp4,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/01.srt,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/50702172c7cdc969615b81e6f22499fd_MIT18_06S10_L01.pdf,,,
2,2,Lecture 2: Elimination with matrices,Elimination with matrices,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/02.mp4,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/02.srt,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/da601f10fd86ba00d14b378327561b84_MIT18_06S10_L02.pdf,,,
3,3,Lecture 3: Multiplication and inverse matrices,Matrix operations and inverses,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/03.mp4,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/03.srt,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/18d1a0a50c5d91ead6f30195cc161f20_MIT18_06S10_L03.pdf,,,
4,4,Lecture 4: Factorization into \(A=LU\),\(LU\) and \(LDU\) factorization,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/04.mp4,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/04.srt,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/3be3017cefe4dda20b6f1cb8a9c78c65_MIT18_06S10_L04.pdf,,,
5,5,"Lecture 5: Transposes, permutations, spaces \(\mathbb{R}^n\)",Transposes and permutations,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/05.mp4,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/05.srt,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/9cef4e6897e0d0369ef68d26fd19aff2_MIT18_06S10_L05.pdf,,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/22297c2a6dcf06d82e93ee4af115e91a_MIT18_06S10_pset1_s10_soln.pdf,
6,6,Lecture 6: Column space and nullspace,Vector spaces and subspaces,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/06.mp4,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/06.srt,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/bdefda5baee6ea0053bcd56eccabed15_MIT18_06S10_L06.pdf,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/review/Lecture 6.md;/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/review/Lecture 6/README.md,,
7,7,"Lecture 7: Solving \(Ax=0\): pivot variables, special solutions",The nullspace: solving \(Ax=0\),/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/07.mp4,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/07.srt,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/1d48511dfc3158b035ab92820c9a41cd_MIT18_06S10_L07.pdf,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/review/Lecture 7.md;/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/review/Lecture 7/README.md,,
8,8,Lecture 8: Solving \(Ax=b\): row reduced form \(R\),Rectangular \(PA=LU\) and \(Ax=b\),/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/08.mp4,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/08.srt,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/8d2a6e4a1997a83dfad0c1cf32243ad4_MIT18_06S10_L08.pdf,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/review/Lecture 8.md;/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/review/Lecture 8/README.md,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/d039352aaa83a27f11bb2b3778ecfa96_MIT18_06S10_pset2_s10_soln.pdf,
9,9,"Lecture 9: Independence, basis, and dimension",Row reduced echelon form,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/09.mp4,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/09.srt,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/0fab20a14c050d85ef29563cd6c52d37_MIT18_06S10_L09.pdf,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/review/Lecture 9.md;/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/review/Lecture 9/README.md,,
10,10,Lecture 10: The four fundamental subspaces,Basis and dimension,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/10.mp4,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/10.srt,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/beb0af47395afc99fabf9cb77cc82517_MIT18_06S10_L10.pdf,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/review/Lecture 10.md;/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/review/Lecture 10/README.md,,
11,11,Lecture 11: Matrix spaces; rank 1; small world graphs,The four fundamental subspaces,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/11.mp4,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/11.srt,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/c1729bd4d02104d1632a4dd8cc63d055_MIT18_06S10_L11.pdf,,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/99823819ffda7c97ddee8abd68ca8764_MIT18_06S10_pset3_s10_soln.pdf,
12,12,"Lecture 12: Graphs, networks, incidence matrices",Exam 1: Chapters 1 to 3.4,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/12.mp4,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/12.srt,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/e30811f88a051e74802bfa1a03c2a625_MIT18_06S10_L12.pdf,,,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/b7efef974f7a2c8b5c925f5ea8fc9152_MIT18_06S10_exam1_s10_sol.pdf;/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/e9bbec7a9a25a87715e8edd75e21d7b9_MIT18_06S10_exam1_s10.pdf
13,13,Lecture 13: Quiz 1 review,Graphs and networks,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/13.mp4,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/13.srt,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/9782741af47924e64ec66796ccd7b8f1_MIT18_06S10_L13.pdf,,,
14,14,Lecture 14: Orthogonal vectors and subspaces,Orthogonality,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/14.mp4,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/14.srt,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/617515a90ae97a0810cc3aea8d9640d8_MIT18_06S10_L14.pdf,,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/4ece22f9c707878e1e57b9840469490e_MIT18_06S10_pset4_s10_soln.pdf,
15,15,Lecture 15: Projections onto subspaces,Projections and subspaces,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/15.mp4,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/15.srt,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/37c203da0f0a780809072f41816a3a8a_MIT18_06S10_L15.pdf,,,
16,16,Lecture 16: Projection matrices and least squares,Least squares approximations,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/16.mp4,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/16.srt,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/8b5607dd65cba1eef1e94f6b9eaf3c5a_MIT18_06S10_L16.pdf,,,
17,17,Lecture 17: Orthogonal matrices and Gram-Schmidt,Gram-Schmidt and \(A=QR\),/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/17.mp4,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/17.srt,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/d9d9d4782a0e31f7cce8bc2c0dc32f64_MIT18_06S10_L17.pdf,,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/ef8cf047287bc629eb243a691340c823_MIT18_06S10_pset5_s10_soln.pdf,
18,18,Lecture 18: Properties of determinants,Properties of determinants,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/18.mp4,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/18.srt,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/04979ab05f4f27e621e1e26ece4586fd_MIT18_06S10_L18.pdf,,,
19,19,Lecture 19: Determinant formulas and cofactors,Formulas for determinants,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/19.mp4,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/19.srt,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/2044960c6bdf6d9dd095ec65a7995e02_MIT18_06S10_L19.pdf,,,
20,20,"Lecture 20: Cramer's rule, inverse matrix, and volume",Applications of determinants,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/20.mp4,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/20.srt,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/650a197f93607b9751e0cc4b5a11b647_MIT18_06S10_L20.pdf,,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/ace08d2d5a7b321229f191765c5ff2e3_MIT18_06S10_pset6_s10_soln.pdf,
21,21,Lecture 21: Eigenvalues and eigenvectors,Eigenvalues and eigenvectors,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/21.mp4,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/21.srt,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/e820a9d3c5709407ebbd6cf8a065d1ed_MIT18_06S10_L21.pdf,,,
22,22,Lecture 22: Diagonalization and powers of A,Diagonalization,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/22.mp4,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/22.srt,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/29a5c9f572b39efa94c91969f4c1dd8b_MIT18_06S10_L22.pdf,,,
23,23,Lecture 23: Differential equations and \(e^{At}\),Markov matrices,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/23.mp4,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/23.srt,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/fffec996d9d247718d57dbe9147a0bac_MIT18_06S10_L23.pdf,,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/4d1ef28c0836e81caec9122a69c7b931_MIT18_06S10_pset7_s10_soln.pdf,
24,24,Lecture 24: Markov matrices; fourier series,Review for exam 2,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/24.mp4,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/24.srt,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/0a004f4b6e3c4d8b70f0cbf9bf4cb7fc_MIT18_06S10_L24.pdf,,,
25,25,Lecture 25: Symmetric matrices and positive definiteness,"Exam 2: Chapters 1-5, 6.1-6.2, 8.2",/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/25.mp4,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/25.srt,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/16edaa6071e4c657f7426e85c6d757e7_MIT18_06S10_L25.pdf,,,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/892238e7e16a658abd5813bea8399170_MIT18_06S10_exam2_s10.pdf;/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/d669bf89c103559d51427d0916c5db61_MIT18_06S10_exam2_s10_soln.pdf
26,26,Lecture 26: Complex matrices; fast fourier transform,Differential equations,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/26.mp4,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/26.srt,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/25b272e031b673f77a0377e68f512ead_MIT18_06S10_L26.pdf,,,
27,27,Lecture 27: Positive definite matrices and minima,Symmetric matrices,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/27.mp4,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/27.srt,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/d79b8aef4f100537a4575eff31873b5c_MIT18_06S10_L27.pdf,,,
28,28,Lecture 28: Similar matrices and Jordan form,Positive definite matrices,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/28.mp4,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/28.srt,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/9697b309089fad2aefcbf5779c5bc3b2_MIT18_06S10_L28.pdf,,,
